,license_plate,kreis_key,kreis_name
0,AM,09361,Amberg
1,AN,09561,Ansbach
2,AB,09661,Aschaffenburg
3,A,09761,Augsburg
4,BAD,08211,Baden-Baden
5,BA,09461,Bamberg
6,BT,09462,Bayreuth
7,B,11000,Berlin
8,BI,05711,Bielefeld
9,BO,05911,Bochum
10,WAT,05911,Bochum
11,BN,05314,Bonn
12,BOT,05512,Bottrop
13,BRB,12051,Brandenburg an der Havel
14,BS,03101,Braunschweig
15,HB,04011,Bremen
16,HB,04012,Bremerhaven
17,C,14511,Chemnitz
18,CO,09463,Coburg
19,NEC,09463,Coburg
20,CB,12052,Cottbus
21,DA,06411,Darmstadt
22,DEL,03401,Delmenhorst
23,DE,15001,Dessau-Roßlau
24,RSL,15001,Dessau-Roßlau
25,DO,05913,Dortmund
26,DD,14612,Dresden
27,DU,05112,Duisburg
28,D,05111,Düsseldorf
29,EMD,03402,Emden
30,EF,16051,Erfurt
31,ER,09562,Erlangen
32,E,05113,Essen
33,FL,01001,Flensburg
34,FT,07311,Frankenthal
35,FF,12053,Frankfurt
36,F,06412,Frankfurt am Main
37,FR,08311,Freiburg im Breisgau
38,FÜ,09563,Fürth
39,GE,05513,Gelsenkirchen
40,G,16052,Gera
41,HA,05914,Hagen
42,HAL,15002,Halle
43,HH,02000,Hamburg
44,HAM,05915,Hamm
45,HD,08221,Heidelberg
46,HN,08121,Heilbronn
47,HER,05916,Herne
48,WAN,05916,Herne
49,HO,09464,Hof
50,IN,09161,Ingolstadt
51,J,16053,Jena
52,KL,07312,Kaiserslautern
53,KA,08212,Karlsruhe
54,KS,06611,Kassel
55,KF,09762,Kaufbeuren
56,KE,09763,Kempten
57,KI,01002,Kiel
58,KO,07111,Koblenz
59,K,05315,Köln
60,KR,05114,Krefeld
61,LD,07313,Landau in der Pfalz
62,LA,09261,Landshut
63,L,14713,Leipzig
64,LEV,05316,Leverkusen
65,OP,05316,Leverkusen
66,HL,01003,Lübeck
67,LU,07314,Ludwigshafen am Rhein
68,MD,15003,Magdeburg
69,MZ,07315,Mainz
70,MA,08222,Mannheim
71,MM,09764,Memmingen
72,MG,05116,Mönchengladbach
73,MH,05117,Mülheim an der Ruhr
74,M,09162,München
75,MS,05515,Münster
76,NMS,01004,Neumünster
77,NW,07316,Neustadt an der Weinstraße
78,N,09564,Nürnberg
79,OB,05119,Oberhausen
80,OF,06413,Offenbach am Main
81,OL,03403,Oldenburg
82,OS,03404,Osnabrück
83,PA,09262,Passau
84,PF,08231,Pforzheim
85,PS,07317,Pirmasens
86,P,12054,Potsdam
87,R,09362,Regensburg
88,RS,05120,Remscheid
89,RO,09163,Rosenheim
90,HRO,13003,Rostock
91,SZ,03102,Salzgitter
92,SC,09565,Schwabach
93,SW,09662,Schweinfurt
94,SN,13004,Schwerin
95,SG,05122,Solingen
96,SP,07318,Speyer
97,SR,09263,Straubing
98,S,08111,Stuttgart
99,SHL,16054,Suhl
100,TR,07211,Trier
101,UL,08421,Ulm
102,WEN,09363,Weiden in der Oberpfalz
103,WE,16055,Weimar
104,WI,06414,Wiesbaden
105,WHV,03405,Wilhelmshaven
106,WOB,03103,Wolfsburg
107,WO,07319,Worms
108,W,05124,Wuppertal
109,WÜ,09663,Würzburg
110,ZW,07320,Zweibrücken
111,AC,05334,Aachen
112,MON,05334,Aachen
113,AW,07131,Ahrweiler
114,AIC,09771,Aichach-Friedberg
115,FDB,09771,Aichach-Friedberg
116,UL,08425,Alb-Donau-Kreis
117,ABG,16077,Altenburger Land
118,SLN,16077,Altenburger Land
119,AK,07132,Altenkirchen (Westerwald)
120,SAW,15081,Altmarkkreis Salzwedel
121,GA,15081,Altmarkkreis Salzwedel
