,partei_key,partei_name
0,christlich_demokratische_union_deutschlands,Christlich Demokratische Union Deutschlands
1,sozialdemokratische_partei_deutschlands,Sozialdemokratische Partei Deutschlands
2,buendnis_90_die_gruenen,BÜNDNIS 90/DIE GRÜNEN
3,die_linke,DIE LINKE
4,alternative_fuer_deutschland,Alternative für Deutschland
5,christlich_soziale_union_in_bayern_e_v_,Christlich-Soziale Union in Bayern e.V.
6,freie_demokratische_partei,Freie Demokratische Partei
7,freie_waehler,FREIE WÄHLER
8,piratenpartei_deutschland,Piratenpartei Deutschland
9,partei_mensch_umwelt_tierschutz,PARTEI MENSCH UMWELT TIERSCHUTZ
10,nationaldemokratische_partei_deutschlands,Nationaldemokratische Partei Deutschlands
11,familien_partei_deutschlands,Familien-Partei Deutschlands
12,oekologisch_demokratische_partei,Ökologisch-Demokratische Partei
13,"partei_fuer_arbeit,_rechtsstaat,_tierschutz,_elitenfoerderung_und_basisdemokratische_initiative","Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative"
14,ab_jetzt___demokratie_durch_volksabstimmung___politik_fuer_die_menschen,Ab jetzt...Demokratie durch Volksabstimmung - Politik für die Menschen
15,bayernpartei,Bayernpartei
16,deutsche_kommunistische_partei,Deutsche Kommunistische Partei
17,marxistisch_leninistische_partei_deutschlands,Marxistisch-Leninistische Partei Deutschlands
18,"sozialistische_gleichheitspartei,_vierte_internationale","Sozialistische Gleichheitspartei, Vierte Internationale"
19,aktion_partei_fuer_tierschutz_–_das_original,Aktion Partei für Tierschutz – DAS ORIGINAL
20,"allianz_fuer_menschenrechte,_tier__und_naturschutz","Allianz für Menschenrechte, Tier- und Naturschutz"
21,buendnis_c___christen_fuer_deutschland,Bündnis C - Christen für Deutschland
22,buendnis_fuer_innovation_&_gerechtigkeit,Bündnis für Innovation & Gerechtigkeit
23,buendnis_grundeinkommen___die_grundeinkommenspartei,Bündnis Grundeinkommen - Die Grundeinkommenspartei
24,demokratie_direkt!,Demokratie DIREKT!
25,demokratie_in_europa___diem25,Demokratie in Europa - DiEM25
26,der_dritte_weg,DER DRITTE WEG
27,die_grauen_–_fuer_alle_generationen,Die Grauen – Für alle Generationen
28,"die_rechte_–_partei_fuer_volksabstimmung,_souveraenitaet_und_heimatschutz","DIE RECHTE – Partei für Volksabstimmung, Souveränität und Heimatschutz"
29,die_violetten,Die Violetten
30,europaeische_partei_liebe,Europäische Partei LIEBE
31,feministische_partei_die_frauen,Feministische Partei DIE FRAUEN
32,graue_panther,Graue Panther
33,lkr___bernd_lucke_und_die_liberal_konservativen_reformer,LKR - Bernd Lucke und die Liberal-Konservativen Reformer
34,menschliche_welt___fuer_das_wohl_und_gluecklichsein_aller,Menschliche Welt - für das Wohl und Glücklichsein aller
35,neue_liberale_–_die_sozialliberalen,Neue Liberale – Die Sozialliberalen
36,oekologische_linke,Ökologische Linke
37,partei_der_humanisten,Partei der Humanisten
38,partei_fuer_die_tiere_deutschland,PARTEI FÜR DIE TIERE DEUTSCHLAND
39,partei_fuer_gesundheitsforschung,Partei für Gesundheitsforschung
40,volt_deutschland,Volt Deutschland
