GENESIS-Tabelle: 12111-31-01-4
Haushalte nach Haushaltsgr��en;;;;;;;;
- Stichtag 09.05.2011 -;;;;;;;;
regionale Tiefe: Kreise und krfr. St�dte;;;;;;;;
Zensus 2011;;;;;;;;
09.05.2011;;;;;;;;
;;Private Haushalte;Private Haushalte;Private Haushalte;Private Haushalte;Private Haushalte;Private Haushalte;Private Haushalte
;;Haushalte mit ... Personen;Haushalte mit ... Personen;Haushalte mit ... Personen;Haushalte mit ... Personen;Haushalte mit ... Personen;Haushalte mit ... Personen;Haushalte mit ... Personen
;;Insgesamt;1;2;3;4;5;6 und mehr
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
DG;Deutschland;37571219;13960811;12455731;5454875;3906260;1222149;571393
01;  Schleswig-Holstein;1316303;475701;458194;184389;136678;41583;19758
01001;      Flensburg, kreisfreie Stadt;44746;22722;13172;4619;2928;871;434
01002;      Kiel, Landeshauptstadt, kreisfreie Stadt;127889;61501;41088;13166;8225;2591;1318
01003;      L�beck, Hansestadt, kreisfreie Stadt;109077;50171;35482;12241;7658;2298;1227
01004;      Neum�nster, kreisfreie Stadt;37895;16275;11963;4886;3234;1080;457
01051;      Dithmarschen, Landkreis;61644;20259;22050;9093;6830;2319;1093
01053;      Herzogtum Lauenburg, Landkreis;82965;26140;29774;12825;9906;2917;1403
01054;      Nordfriesland, Landkreis;80323;29071;27656;10701;8410;3054;1431
01055;      Ostholstein, Landkreis;98503;35614;36391;13311;9216;2691;1280
01056;      Pinneberg, Landkreis;136155;46745;48092;20136;15313;4130;1739
01057;      Pl�n, Landkreis;57770;17985;21632;8585;6504;2053;1011
01058;      Rendsburg-Eckernf�rde, Landkreis;119754;37497;42524;18264;14772;4527;2170
01059;      Schleswig-Flensburg, Landkreis;85234;26058;30355;12888;10512;3576;1845
01060;      Segeberg, Landkreis;114648;35433;41276;18409;13813;3867;1850
01061;      Steinburg, Landkreis;58529;19396;20434;8798;6810;2147;944
01062;      Stormarn, Landkreis;101171;30834;36305;16467;12547;3462;1556
02;  Hamburg;876502;408507;267331;102924;66642;20980;10118
03;  Niedersachsen;3517840;1222307;1183634;521773;398085;128414;63627
031;    Braunschweig, Stat. Region;751165;281729;251355;109045;75692;22669;10675
03101;      Braunschweig, kreisfreie Stadt;128885;59167;42036;14617;9426;2592;1047
03102;      Salzgitter, kreisfreie Stadt;47023;18235;15851;6553;4343;1357;684
03103;      Wolfsburg, kreisfreie Stadt;59295;23588;20105;8063;5316;1486;737
03151;      Gifhorn, Landkreis;70285;18786;23038;12695;10455;3478;1833
03152;      G�ttingen, Landkreis;123270;51252;38088;16814;11689;3656;1771
03153;      Goslar, Landkreis;71818;28787;25325;9467;5753;1675;811
03154;      Helmstedt, Landkreis;41895;13945;14566;6890;4587;1365;542
03155;      Northeim, Landkreis;61560;20193;21010;10156;7051;2123;1027
03156;      Osterode am Harz, Landkreis;35964;12631;12859;5347;3649;1018;460
03157;      Peine, Landkreis;56354;16865;19677;9644;7089;2095;984
03158;      Wolfenb�ttel, Landkreis;54816;18280;18800;8799;6334;1824;779
03159;      G�ttingen, Landkreis;-;-;-;-;-;-;-
032;    Hannover, Stat. Region;988913;379039;327468;138926;99394;29877;14209
03241;      Region Hannover, Landkreis;546904;232085;175841;70326;48339;14049;6264
03241001;      Hannover, Landeshauptstadt;277090;141888;79664;28933;18423;5623;2559
03251;      Diepholz, Landkreis;88996;25454;31550;14807;11523;3694;1968
03252;      Hameln-Pyrmont, Landkreis;70510;26520;24269;9748;6937;2064;972
03254;      Hildesheim, Landkreis;127893;45671;43431;19176;13816;3998;1801
03255;      Holzminden, Landkreis;33407;11110;11165;5399;3855;1249;629
03256;      Nienburg (Weser), Landkreis;50721;14986;16870;8376;6754;2332;1403
03257;      Schaumburg, Landkreis;70482;23213;24342;11094;8170;2491;1172
033;    L�neburg, Stat. Region;733303;230787;257886;114682;88062;27656;14230
03351;      Celle, Landkreis;78364;26078;27214;11607;8754;3031;1680
03352;      Cuxhaven, Landkreis;89377;27300;32915;14070;10142;3238;1712
03353;      Harburg, Landkreis;104989;31468;38482;16847;13150;3518;1524
03354;      L�chow-Dannenberg, Landkreis;22821;7762;7719;3500;2409;880;551
03355;      L�neburg, Landkreis;79163;28317;26002;11843;9012;2666;1323
03356;      Osterholz, Landkreis;47174;13263;17467;7713;6160;1734;837
03357;      Rotenburg (W�mme), Landkreis;67143;18953;22565;11286;9269;3250;1820
03358;      Heidekreis, Landkreis;59924;19370;20717;9278;6981;2330;1248
03359;      Stade, Landkreis;84704;26527;29404;13168;10778;3305;1522
03360;      Uelzen, Landkreis;42809;14890;14832;6209;4543;1560;775
03361;      Verden, Landkreis;56835;16859;20569;9161;6864;2144;1238
034;    Weser-Ems, Stat. Region;1044459;330752;346925;159120;134937;48212;24513
03401;      Delmenhorst, kreisfreie Stadt;34538;12723;12024;4999;3249;1043;500
03402;      Emden, kreisfreie Stadt;23940;9450;7982;3215;2326;671;296
03403;      Oldenburg (Oldenburg), kreisfreie Stadt;81055;35253;26868;9566;6617;1903;848
