,kreis_key,income_pp_2000,income_pp_2001,income_pp_2002,income_pp_2003,income_pp_2004,income_pp_2005,income_pp_2006,income_pp_2007,income_pp_2008,income_pp_2009,income_pp_2010,income_pp_2011,income_pp_2012,income_pp_2013,income_pp_2014,income_pp_2015,income_pp_2016,income_pp_2017,income_pp_2018,income_2000,income_2001,income_2002,income_2003,income_2004,income_2005,income_2006,income_2007,income_2008,income_2009,income_2010,income_2011,income_2012,income_2013,income_2014,income_2015,income_2016,income_2017,income_2018
51,03361,16403,17285,17052,17569,17521,18136,18742,19040,19495,19770,19978,20665,21173,21470,21782,21845,22601,23096,23780,2165815,2289804,2265371,2339482,2337179,2418816,2496029,2531783,2587536,2618887,2643567,2730520,2795536,2840349,2893444,2925724,3056639,3146080,3250553
53,03401,14962,15328,15499,15792,15709,16029,16289,16385,16724,16874,17089,17391,17602,17757,18062,18422,18586,18973,19411,1140500,1162612,1170255,1189043,1181962,1204636,1217103,1217112,1236777,1241894,1253557,1274923,1293357,1310857,1344306,1392042,1425251,1466284,1505572
54,03402,13886,14447,14530,15031,15128,15267,15375,15435,15881,16191,16452,16769,17005,17204,17532,17732,17978,18451,19003,697437,724282,729798,755478,761445,769066,773904,776054,795931,806915,819188,836498,846847,856262,874879,892872,909530,932663,957784
55,03403,14346,14774,14971,15451,15551,16026,16554,16716,17028,17251,17468,17725,17937,18009,18381,18819,19296,19545,20091,2182661,2256872,2302264,2390815,2409943,2481656,2565576,2595815,2651265,2697917,2745028,2793153,2837278,2865789,2945653,3055583,3179426,3252197,3368218
56,03404,15103,15687,15900,16525,16695,17140,17579,17678,18118,18417,18606,19088,19466,19685,19749,19903,20484,20768,21428,2403554,2484439,2512099,2612062,2629210,2676038,2723736,2723271,2785808,2829716,2858451,2941748,3018591,3070233,3092827,3177557,3343688,3410587,3526278
57,03405,13386,13871,14027,14278,14293,14656,15015,15222,15528,15544,15585,15907,16378,16573,16954,17445,17809,18149,18511,1124079,1151688,1157699,1172477,1166318,1185594,1202260,1206206,1217216,1207774,1207851,1228333,1256818,1261787,1282276,1321731,1355216,1384025,1412349
58,03451,14769,15702,15473,15957,16011,16647,17229,17570,18042,18170,18528,19288,19704,19942,20474,20673,21305,21945,22451,1618710,1740130,1733370,1806913,1828403,1911627,1990257,2039156,2097554,2116114,2165455,2266764,2329379,2366649,2444465,2494689,2600587,2700055,2777782
59,03452,13185,13756,13565,13859,13870,14281,14766,15052,15573,15879,16239,17344,18274,17874,18494,18990,19486,20072,20679,2451218,2572154,2545807,2608639,2617384,2697111,2788815,2842976,2933639,2979640,3042585,3243625,3411549,3340049,3468159,3581441,3695181,3813790,3926875
60,03453,13323,14159,13947,14377,14548,14845,15267,15525,16224,16326,16953,17832,18145,18656,19363,19246,19987,20632,20747,1983241,2129493,2116309,2198220,2242811,2306166,2382889,2434945,2553061,2572101,2678889,2832125,2897000,2986978,3122589,3147503,3304462,3444009,3498639
61,03454,13298,14034,13824,14198,14322,14865,15491,15933,16408,16553,16962,17912,18426,18874,19539,20045,20507,21126,21529,4003710,4249111,4209129,4342978,4397655,4580505,4793038,4956054,5117601,5157836,5277332,5576855,5753398,5912731,6149239,6366675,6571310,6813280,6989254
62,03455,13948,14505,14345,14649,14738,15014,15399,15573,16202,16396,16859,17623,18261,18688,19103,19409,19954,20557,21071,1393788,1456026,1444235,1475530,1484210,1509155,1542616,1554247,1608893,1619610,1658372,1727721,1782150,1816670,1853260,1890794,1958541,2024038,2075176
63,03456,13850,14343,14002,14289,14273,14578,14983,15226,15717,15790,16232,17040,17574,17996,18493,18701,19315,20001,20452,1781929,1859110,1831167,1880983,1889652,1939593,1999612,2037413,2107443,2116843,2171393,2274830,2346555,2405475,2478164,2524558,2621365,2716437,2785190
64,03457,12874,13417,13295,13659,13782,14259,14816,15208,15558,15496,15622,16249,16786,17061,17582,18076,18662,19200,19703,2064653,2167414,2162619,2233151,2257588,2338751,2435556,2499556,2553355,2540631,2558747,2662390,2754604,2806470,2906287,3012843,3133290,3237099,3337260
65,03458,14836,15717,15501,16041,16235,16663,17151,17430,18117,18377,18858,19781,20395,20759,21457,21380,22206,22802,23338,1764192,1892190,1884832,1964305,1997952,2058265,2123328,2159641,2242730,2277078,2347418,2473071,2556342,2607219,2709819,2730248,2865617,2957507,3034722
66,03459,15031,15880,15821,16384,16510,16948,17440,17696,18065,18229,18541,19361,19921,20307,20812,21134,21697,22434,23030,5267006,5581967,5584189,5795357,5855971,6018795,6188621,6270146,6386954,6424132,6510450,6785586,6981045,7115089,7301077,7496062,7733865,7974538,8215838
67,03460,15130,16257,15885,16559,16888,17452,18107,18478,18818,18768,19058,19945,20272,20543,20925,21169,21723,22355,22694,1871207,2035694,2010292,2110920,2167478,2253428,2348208,2412027,2466628,2461182,2504623,2636345,2698314,2749176,2828775,2900633,3014468,3132112,3201449
68,03461,14298,14831,14773,15110,15365,15728,16139,16481,16996,17151,17673,18497,19050,19344,19726,20019,20724,21377,21936,1341683,1392734,1388637,1419130,1440710,1470202,1500303,1522703,1560281,1562204,1598724,1662458,1701695,1721229,1751667,1781730,1849847,1905846,1948398
69,03462,13097,13706,13596,14038,14352,14839,15408,15780,16232,16178,16470,17359,18011,18590,19053,19273,20020,20729,21235,747869,783160,778288,804977,824210,853970,886626,906093,929005,922790,937420,984474,1017044,1048114,1075942,1095807,1141671,1177522,1206320
71,04011,16317,17132,16937,17129,16761,17862,18268,18796,19985,19244,18758,19129,19897,20009,20185,20365,20701,21239,22116,8764359,9202297,9123073,9254885,9075841,9685053,9918439,10208431,10842650,10434184,10164971,10365085,10848974,10954688,11105059,11294792,11625292,12039424,12576863
72,04012,14607,15486,14574,15076,14813,15611,15318,15735,15378,14947,16746,16959,16654,16911,17278,17062,17212,18071,18296,1754713,1826482,1703891,1756759,1709999,1786598,1741025,1775505,1720737,1660171,1847487,1864768,1802460,1836244,1891597,1912156,1954065,2042591,2073517
75,05111,19463,19912,19866,20348,20819,21137,21458,21514,22181,21363,22006,22588,22854,23416,23276,23998,24728,25360,26087,11049864,11321182,11317168,11607188,11881095,12080939,12313471,12414098,12870489,12447506,12869011,13277250,13522140,13959967,14002783,14599306,15150994,15603062,16129059
76,05112,13287,13695,13833,14084,14299,14228,14235,14297,14754,14666,15039,15422,15651,15723,15986,16192,16292,16590,17126,6872142,7029545,7057135,7145790,7224098,7152770,7118629,7114209,7304209,7225927,7375739,7531482,7624331,7654288,7771966,7907385,8073073,8278171,8534844
77,05113,16358,16679,16770,17031,17171,17272,17455,17546,18120,17695,18179,18696,18524,18756,18971,18988,19481,19981,20626,9711873,9833027,9798612,9924792,10022677,10040521,10098272,10116296,10409753,10107230,10330560,10593006,10491474,10660193,10848321,10978833,11354301,11653544,12029994
78,05114,15996,16421,16492,16949,17334,17449,17633,17718,18488,18098,18657,19232,19389,19370,19755,20088,20417,20931,21591,3753347,3824952,3825229,3912719,3983445,3992074,4013662,4012204,4168304,4059434,4161580,4273920,4303196,4300893,4391228,4496150,4613825,4746137,4898230
79,05116,16207,16690,16584,16976,17281,17315,17465,17468,18155,17751,18298,18886,18864,18838,19248,19231,19692,20155,20841,4249684,4368184,4339433,4435234,4503215,4501853,4530154,4516676,4673208,4551362,4681794,4820716,4809586,4808573,4930204,4969728,5129106,5271737,5456500
80,05117,18073,18567,18312,18752,19129,19739,20227,20509,20805,19949,20088,20892,21120,21266,21644,21659,21882,22410,23153,3130662,3201461,3150891,3211508,3258073,3353554,3426848,3464156,3502266,3343255,3356876,3487203,3521243,3543982,3611844,3642853,3722237,3834414,3960906
81,05119,14071,14640,14630,14801,15002,14947,14912,14981,15465,15459,16000,16454,16501,16692,17006,17292,17629,18103,18719,3110131,3228729,3215833,3239911,3270131,3247828,3230104,3229951,3313093,3286152,3377434,3461502,3467450,3497860,3557634,3633284,3722445,3826941,3952157
82,05120,17412,17809,17764,18258,18523,18819,19253,19566,19833,19028,19231,19923,20233,20474,20854,20913,21187,21610,22325,2088401,2124229,2110886,2160488,2178320,2196135,2228817,2246601,2255451,2140488,2143427,2203165,2220383,2234787,2272659,2284829,2331704,2390049,2473419
83,05122,17444,18444,18335,18926,19234,19247,19386,19310,20076,19760,20507,21172,21608,21433,21782,21475,21936,22464,23285,2843342,2997095,2973128,3060158,3100535,3089234,3095291,3069337,3174813,3104866,3198570,3285967,3353579,3333711,3403920,3387597,3483754,3568521,3704162
84,05124,16609,17173,17171,17674,17961,18049,18241,18225,18746,18210,18535,19110,19047,19239,19529,19827,20438,20838,21480,6050071,6213357,6182056,6333782,6408629,6407896,6445271,6407952,6537772,6295815,6368678,6548291,6527870,6602482,6726965,6894378,7178136,7355641,7603541
85,05154,15135,15831,15390,15657,15953,16080,16329,16535,17028,16587,17264,17936,18372,18534,18813,18902,19389,20159,20716,4465486,4699309,4600188,4703872,4808964,4859044,4941009,5008316,5152804,5006707,5199680,5399306,5540506,5603672,5716000,5815296,6016925,6265508,6445102
86,05158,19177,19908,19685,20122,20435,20574,20768,20823,21446,20935,21491,22277,22755,22942,23312,23592,24114,24844,25684,9566695,9938102,9820357,10003692,10116137,10146016,10198627,10178937,10420153,10096498,10303498,10651726,10868982,10943655,11124395,11336570,11671556,12051633,12470569
87,05162,18145,18794,18779,19313,19815,19963,20264,20393,20990,20406,20981,21710,22202,22441,22943,23260,23702,24503,25324,7991048,8295500,8307869,8544454,8758589,8807714,8918652,8961888,9206684,8929751,9171913,9495935,9735140,9872122,10130750,10380155,10635849,10987767,11401019
88,05166,15988,16678,16638,17156,17601,17761,18086,18313,18877,18450,19081,19823,20234,20407,20904,21165,21726,22418,23204,4765748,4998170,5008932,5171698,5305693,5352441,5439517,5497051,5654899,5509335,5672411,5872347,5983485,6023774,6166550,6272532,6475389,6693634,6934027
89,05170,15132,15819,15791,16131,16521,16666,16932,17188,17875,17624,18236,18884,19281,19474,19840,20161,20654,21382,22230,7113722,7453643,7461888,7627000,7799079,7852815,7957715,8051596,8337387,8181598,8426278,8693572,8850585,8913006,9069549,9273274,9546182,9861316,10230883
91,05314,17634,17843,17907,18525,19265,19543,19793,20110,20791,20301,20937,21368,21103,21414,21733,22032,22459,22908,23471,5140541,5228015,5288479,5499416,5729587,5810740,5889770,6001050,6221733,6089888,6332379,6538674,6514363,6650581,6794135,6970614,7197431,7417691,7660295
92,05315,16726,17190,17307,17964,18544,18612,18724,18754,19254,18655,19114,19517,19719,20104,20330,20872,21304,21716,22402,16065878,16554312,16713740,17326986,17892514,18115239,18408435,18546849,19092584,18519402,19082800,19677914,20093940,20692413,21152144,21990987,22758619,23412942,24262272
93,05316,16158,16770,16900,17032,17163,17066,17103,17066,17628,17552,18157,18638,19162,19408,19588,20172,20543,21128,21756,2585873,2682308,2694898,2720579,2751538,2731693,2733884,2727625,2815770,2795525,2885178,2966464,3059144,3112553,3157230,3278174,3354633,3451207,3561559
94,05334,15318,16000,15939,16276,16473,16441,16547,16546,17221,16954,17562,18043,18049,18128,18422,18895,19297,19835,20504,8234900,8616363,8611112,8875283,9053897,9035048,9080801,9064764,9410750,9221576,9506189,9760232,9785697,9860991,10064994,10407266,10675057,10974150,11374961
96,05354,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97,05358,14829,15529,15381,15672,16016,16096,16326,16482,17209,17023,17697,18347,18537,18650,19144,19491,19913,20510,21194,3903413,4117076,4101341,4186968,4275695,4286988,4325509,4345702,4519084,4445331,4597145,4748297,4793324,4821316,4952981,5086181,5226104,5383498,5580583
98,05362,16364,17139,16983,17259,17538,17576,17699,17833,18546,18448,19201,19866,20056,20254,20471,20868,21335,21960,22675,7322383,7709124,7673815,7816826,7949656,7964886,8012513,8074117,8393796,8336199,8664657,8977195,9101329,9229515,9376143,9663137,9944410,10241706,10626711
99,05366,14875,15551,15529,15895,16209,16129,16299,16399,17182,17022,17868,18580,18989,19092,19545,20062,20498,21138,21862,2784858,2930214,2941831,3024938,3095135,3083687,3113995,3128284,3270620,3230357,3373344,3492708,3565469,3581355,3670546,3804926,3918796,4051366,4208010
100,05370,13893,14559,14422,14866,15199,15290,15430,15579,16172,15991,16611,17139,17399,17641,18059,18542,19276,19888,20631,3417946,3606010,3597564,3729567,3826273,3856198,3889102,3918182,4051853,3987766,4127876,4253900,4314944,4375483,4492662,4652533,4868842,5029327,5234359
101,05374,16295,16773,16714,17285,17779,18120,18613,19116,19486,18790,19212,19936,20530,20626,21036,21212,21688,22302,23194,4621989,4777926,4770817,4934600,5074304,5161067,5274632,5381709,5444761,5204548,5275424,5440591,5580196,5585807,5689203,5770534,5927305,6089733,6325384
102,05378,18949,19901,19618,19946,20195,20421,20765,20861,21537,20886,21556,22403,22965,23211,23594,24310,24809,25551,26493,5237267,5510025,5458598,5573891,5658364,5726297,5816586,5837294,6017044,5825203,6006097,6231805,6382213,6457848,6582047,6833741,7021415,7239199,7508028
103,05382,17337,18261,17897,18069,18252,18292,18482,18630,19342,19123,19898,20619,20773,21194,21598,22160,22538,23210,24038,9786236,10384001,10265125,10439050,10596841,10642605,10756295,10835342,11224279,11071665,11505112,11932477,12050072,12322631,12613678,13096568,13456154,13890404,14408768
105,05512,14343,14963,15004,15233,15509,15612,15812,15944,16532,16426,16959,17488,17794,18179,18355,18786,19008,19548,20250,1738357,1811702,1818296,1843129,1870430,1875775,1892971,1903187,1963860,1940710,1995963,2050896,2078081,2113848,2129894,2190113,2229232,2294674,2376802
106,05513,13281,13663,13694,13881,14058,14036,14079,14111,14496,14290,14561,14930,15092,15191,15231,15336,15585,15888,16450,3732282,3804874,3788733,3811572,3827140,3791737,3780695,3766633,3836319,3746765,3789088,3862241,3890829,3915248,3925824,3972051,4074729,4153511,4285018
107,05515,16708,17100,17136,17915,18649,19043,19540,19646,20484,20005,20660,20742,20718,20366,20881,21852,21652,22143,22954,4446136,4573625,4613409,4846131,5056698,5177599,5334576,5385821,5635679,5531573,5776083,5964762,6111772,6072118,6283975,6689221,6732481,6924285,7206090
108,05554,14945,15676,15330,15666,15969,16240,16598,16888,17476,17125,17820,18549,19290,19359,20085,20418,20976,21693,22433,5314553,5618409,5531013,5678716,5805124,5919689,6063110,6174076,6392131,6254685,6498034,6757246,7020849,7047599,7325792,7502205,7749360,8015085,8304700
109,05558,15515,16328,16121,16471,16927,17013,17247,17441,18368,18212,19239,20035,20518,20545,21497,21578,22321,23093,23879,3285687,3487326,3469669,3567275,3683083,3707696,3759849,3802089,3992846,3945137,4155139,4314171,4412673,4421018,4635679,4686631,4881753,5061860,5244800
110,05562,14474,15071,15165,15464,15784,15803,15930,16086,16643,16471,17036,17582,17903,18022,18464,18863,19132,19685,20426,9481352,9833498,9863906,10016336,10178860,10146354,10175464,10214584,10502198,10327387,10612288,10889066,11042561,11080262,11327424,11609478,11813761,12146107,12583574
111,05566,14768,15388,15367,15790,16202,16393,16685,16900,17487,17241,17857,18517,19241,19658,19954,20345,21026,21651,22402,6342185,6640681,6665085,6877230,7073809,7169249,7301219,7395387,7644846,7518302,7770262,8041896,8350415,8538138,8695873,8956735,9333357,9645244,10015495
