,kreis_key,income_pp_2000,income_pp_2001,income_pp_2002,income_pp_2003,income_pp_2004,income_pp_2005,income_pp_2006,income_pp_2007,income_pp_2008,income_pp_2009,income_pp_2010,income_pp_2011,income_pp_2012,income_pp_2013,income_pp_2014,income_pp_2015,income_pp_2016,income_pp_2017,income_pp_2018,income_2000,income_2001,income_2002,income_2003,income_2004,income_2005,income_2006,income_2007,income_2008,income_2009,income_2010,income_2011,income_2012,income_2013,income_2014,income_2015,income_2016,income_2017,income_2018
1,01001,14763,15144,15177,15499,15453,16215,16827,17521,17409,17344,17256,17551,17964,17987,18007,18255,18128,18498,18773,1192267,1218905,1220412,1248229,1248307,1311675,1363869,1430341,1434540,1430461,1418785,1448058,1493399,1505825,1518602,1557509,1571451,1627397,1671015
2,01002,14348,14833,14909,15295,15354,15770,15940,16322,16563,16675,16771,17055,17416,17906,17677,18119,18469,18943,19392,3313677,3411585,3431297,3523572,3534718,3638811,3691652,3797488,3869015,3903615,3939614,4034330,4158259,4310035,4283943,4434181,4559584,4692052,4804347
3,01003,14467,14977,15191,15890,16157,16538,16697,16921,17042,17047,17024,17351,17823,17936,18182,19008,19122,19658,20120,3087470,3197620,3242658,3386096,3431350,3504820,3532982,3578121,3601068,3587403,3577055,3652388,3764155,3808498,3885301,4093123,4139659,4256285,4361215
4,01004,14766,15487,15216,15324,15032,15438,15697,16022,16142,16198,16146,16495,17037,17403,17956,18121,18795,19275,19775,1185428,1238995,1215424,1219011,1188634,1214304,1230065,1252058,1254964,1253945,1248038,1274049,1313171,1340109,1388380,1420594,1493064,1532486,1570313
5,01051,14038,14651,14687,15283,15777,16071,16290,16738,17251,17282,17617,18353,18944,19475,20090,20900,21401,22055,22498,1919095,2006493,2012939,2094071,2161030,2199574,2224426,2278414,2338596,2332173,2368402,2456280,2523783,2586597,2665499,2775558,2851506,2944465,2999606
6,01053,16819,17440,17315,17718,17897,18361,18529,18899,19363,19684,19928,20616,21302,21204,21539,22075,22628,23102,23652,3007482,3152973,3164647,3267096,3319517,3419936,3460248,3535190,3622752,3678368,3722783,3857580,3996245,3996365,4089588,4235133,4390522,4518065,4651537
7,01054,14560,15159,15065,15700,15988,16685,17319,18007,18756,18930,19325,20189,20723,21597,22613,23360,23930,24470,25129,2374104,2478301,2472182,2585430,2638921,2757729,2862578,2972812,3090083,3108074,3163721,3296452,3370242,3500365,3664755,3809526,3935054,4042215,4158424
8,01055,15328,15888,15963,16754,17109,17414,17493,17745,18188,18442,18756,19447,20103,20281,20855,21267,21883,22519,23179,3044481,3167563,3196365,3365274,3441600,3506325,3521325,3564522,3642167,3681778,3732750,3856474,3978902,4012696,4131326,4231417,4380763,4519602,4649342
9,01056,18138,18836,18628,19189,19193,19605,19697,19963,20466,20797,21119,21765,22395,22525,22607,23177,23684,24150,24708,5194732,5429480,5400918,5586224,5606101,5744176,5785719,5876875,6029766,6132286,6240824,6455306,6675241,6757963,6842029,7087118,7319818,7526408,7746661
10,01057,15255,15960,16035,16573,16825,17061,17138,17370,17890,18189,18626,19392,20117,20455,20878,21292,22110,22813,23369,1967586,2067436,2084632,2161786,2199114,2230560,2237183,2260959,2318132,2344188,2389733,2474760,2554176,2591232,2646335,2716556,2841269,2937734,3008556
11,01058,15520,16232,16177,16666,16854,17302,17547,17936,18403,18569,18937,19734,20487,20869,21526,22019,22309,22839,23410,4175567,4394713,4400621,4545843,4600802,4721949,4783945,4885036,5001062,5028566,5112915,5312548,5499861,5594255,5776444,5934312,6053840,6227703,6388495
12,01059,14413,14944,14968,15620,15983,16471,16903,17430,17731,17692,17854,18606,19251,19728,20179,21174,21578,22087,22510,2827924,2945753,2960617,3097994,3175016,3271406,3349843,3448175,3501039,3486106,3510175,3646992,3760014,3847446,3942206,4154772,4267243,4397309,4496751
13,01060,16853,17429,17200,17551,17571,18018,18173,18713,18965,19271,19440,20070,20705,21066,21508,21976,22434,22840,23323,4206023,4395545,4373700,4489044,4512676,4640889,4696255,4849297,4917326,4996038,5053234,5234673,5415721,5531854,5680071,5850906,6054296,6238191,6414503
14,01061,14786,15324,15305,15821,16086,16475,16721,17145,17651,17722,18091,18778,19462,19545,19808,20076,20833,21517,21991,1995424,2072597,2075709,2147944,2183228,2230562,2253089,2293496,2344486,2341082,2377752,2457077,2536692,2542327,2577316,2626732,2743060,2834746,2891389
15,01062,19098,19852,19824,20574,20730,21171,21240,21405,21590,21767,21857,22552,23238,23037,23303,23847,24423,25011,25737,4143844,4348366,4379033,4565484,4625571,4752096,4784216,4839677,4903624,4966831,5015220,5204376,5394649,5385822,5492371,5679359,5878908,6056078,6249928
16,02000,17969,19035,18812,20264,20004,21138,21496,21441,21444,20813,21421,22094,22312,22783,22577,23178,23853,24245,25029,30053866,31965143,31640970,34078943,33618933,35535492,36257088,36369680,36479654,35357046,36452120,37823093,38515903,39649768,39612424,41143363,42909831,44137642,45949850
19,03101,15979,16494,16727,17127,17238,17547,17872,18051,18351,18426,18617,19252,19739,19991,20329,20934,21303,21932,22612,3880361,3992655,4038973,4125549,4150576,4221275,4290817,4333794,4405990,4433517,4501096,4680227,4832483,4928002,5038776,5232114,5326045,5446725,5611318
20,03102,14789,15255,15328,15536,15631,15897,16111,16417,16889,17118,17515,18072,18560,18759,19129,19460,19405,19568,20016,1642229,1681648,1675470,1681181,1672773,1681845,1685457,1695575,1723218,1728230,1748251,1787452,1825209,1841078,1885775,1946444,1986580,2037145,2096640
21,03103,16418,17026,17450,17850,18160,18369,18480,18619,19036,19458,19980,21117,22055,22561,23051,23613,23461,24015,24712,1987381,2058826,2113042,2167204,2201632,2211450,2208200,2212432,2261127,2320621,2390577,2541197,2675847,2754912,2829290,2917093,2908659,2975729,3065057
22,03151,15095,15761,15751,16093,16237,16467,16797,17086,17629,18029,18659,19923,20925,21434,21979,22453,22640,23182,23879,2568545,2703271,2718981,2791522,2826352,2870322,2925046,2966861,3049704,3107426,3204493,3409735,3576899,3670386,3780556,3892822,3950130,4054781,4190789
23,03152,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-
24,03153,14861,15291,15440,15900,16072,16313,16599,16746,17147,17315,17609,18124,18554,18753,19085,19553,19999,20610,21306,2309092,2363005,2371324,2425575,2434614,2449677,2465135,2457125,2484444,2477471,2489720,2538172,2581099,2592472,2625013,2693367,2762063,2839504,2925026
25,03154,15614,16257,16297,16619,16735,16918,17143,17213,17869,18241,18808,19644,20398,20931,21560,22000,22231,22745,23466,1557262,1611303,1606861,1630869,1635594,1644165,1652342,1642029,1684972,1701167,1733971,1793100,1849167,1892346,1954727,2006489,2040615,2090253,2147484
26,03155,14803,15383,15385,15772,15792,16120,16530,16807,17282,17416,17798,18480,19061,19389,19916,20429,20938,21636,22303,2234084,2307139,2292865,2336444,2326185,2359403,2399649,2416882,2457027,2444808,2468580,2535893,2591623,2618295,2674384,2745721,2811000,2884723,2964251
27,03156,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-
28,03157,15288,15851,15864,16122,16229,16408,16683,16873,17358,17633,18056,18837,19481,19726,20221,20578,21114,21624,22202,2007250,2093858,2107256,2151638,2170479,2195539,2229041,2245183,2295394,2317945,2362537,2455431,2534644,2566272,2636256,2705197,2800736,2879757,2967681
29,03158,15211,15679,15580,15840,15915,16225,16585,16852,17392,17607,18128,19000,19684,20033,20473,20930,21292,21952,22655,1910042,1977476,1966666,2001485,2010621,2042727,2072955,2090252,2141119,2150480,2198581,2292328,2367457,2404135,2456068,2522277,2575131,2648962,2723137
30,03159,14171,14902,15044,15497,16158,15840,16041,16881,16547,16662,17537,18032,18459,18713,19177,19403,19986,20553,21130,4907929,5135603,5161412,5291022,5486970,5342060,5371974,5625379,5480528,5478023,5725947,5855992,5975493,6043051,6200256,6340274,6561403,6732003,6931763
32,03241,16009,16588,16516,16734,16704,17171,17624,17916,18261,18381,18675,19217,19624,19659,20040,20393,20856,21287,21859,17625653,18298483,18253762,18505719,18465560,18972903,19454227,19767327,20134137,20245556,20567468,21214047,21771393,21941443,22520087,23171201,23913298,24494600,25250290
34,03251,15738,16493,16265,16744,16972,17324,17676,17856,18432,18550,19058,19960,20479,20842,21524,21735,22287,22933,23428,3286035,3462856,3433740,3548441,3604675,3682864,3755995,3788116,3897941,3906225,4002340,4188041,4294697,4372888,4531367,4619350,4781234,4943088,5071048
35,03252,15355,15876,15805,16114,16129,16461,16881,17139,17621,17792,18217,18911,19504,19681,19957,20350,20964,21572,22142,2475371,2551804,2531119,2569574,2557961,2596373,2645062,2666449,2719173,2719182,2760730,2840958,2906499,2915570,2949308,3012823,3108400,3198738,3286485
36,03254,15260,15843,15805,16118,16163,16415,16723,16875,17273,17433,17769,18360,18865,18971,19480,19878,20505,21039,21685,4431693,4601781,4586086,4666772,4665496,4720177,4791913,4815061,4896882,4903417,4960448,5091348,5203989,5215637,5348081,5482370,5683408,5827266,5998487
37,03255,14960,15570,15387,15602,15515,15893,16286,16495,17048,17266,17675,18280,18789,18892,19245,19773,20165,20784,21438,1226437,1269246,1246919,1255959,1236717,1253047,1269976,1271744,1299563,1299347,1314315,1344482,1367984,1363383,1379063,1414727,1443534,1482473,1523351
38,03256,14455,14990,14846,15283,15462,15660,15965,16138,16687,16865,17371,18106,18570,19053,19430,19810,20134,20749,21191,1812979,1883455,1866340,1918454,1940020,1962913,1994943,2008207,2062984,2068263,2115105,2197563,2243382,2287037,2326565,2379853,2437559,2520700,2573178
39,03257,15469,16296,16096,16440,16299,16622,16905,17016,17486,17745,18089,18769,19355,19645,20069,20369,20924,21395,22019,2543547,2685242,2655609,2707703,2676952,2721750,2757633,2762145,2817794,2836076,2867882,2955733,3029681,3061114,3125224,3178176,3283188,3375128,3475338
41,03351,14482,15173,14524,14237,13945,14464,15263,16321,16776,16934,17272,17938,18466,18811,19195,19430,20079,20623,21170,2618911,2746467,2632171,2583938,2532085,2623606,2761447,2940898,3006657,3018121,3063346,3166285,3247758,3303686,3375623,3440334,3577554,3682644,3786168
42,03352,14357,15029,14823,15190,15331,15787,16324,16707,17315,17466,17978,18720,19171,19463,19906,20195,20882,21574,22110,2924774,3078227,3045792,3122729,3150750,3233404,3325657,3383287,3487280,3501498,3588210,3719008,3791482,3834558,3915492,3987420,4142644,4279949,4381236
43,03353,18040,19025,19098,19894,20116,20634,20998,21000,21337,21570,21804,22345,22747,23168,23485,23795,24380,24897,25687,4096436,4359741,4408647,4615561,4685568,4833021,4939658,4954442,5046556,5112539,5184411,5334684,5457264,5599879,5731253,5869241,6076156,6247068,6476891
44,03354,13505,14089,14093,14554,14834,15190,15659,15978,16475,16306,16681,17475,17914,18287,18729,18900,19356,20386,20823,703946,732625,730532,753066,766235,782611,801309,810617,828383,813651,826153,859506,877853,892397,912101,934189,957679,990573,1007666
45,03355,14479,15159,15172,15586,15698,15971,16270,16398,16904,17157,17631,18142,18496,18720,19544,19496,20288,20779,21334,2371709,2513202,2549523,2650663,2690401,2752736,2812775,2840904,2931282,2977824,3064320,3161535,3239787,3298225,3467531,3497973,3675485,3787425,3907292
46,03356,15726,16423,16307,16725,16720,17079,17554,17740,18108,18290,18730,19350,19791,20236,20679,20995,21780,22497,23123,1724721,1816274,1814184,1868580,1873954,1915607,1965749,1985414,2025878,2039713,2082431,2147218,2193394,2243123,2299184,2362627,2464110,2539932,2620088
47,03357,14595,15305,15045,15401,15593,16097,16608,16934,17418,17499,17932,18879,19531,20057,20452,20765,21368,22050,22600,2342244,2478626,2449994,2517410,2558773,2645044,2728701,2783436,2859277,2863195,2926894,3070482,3163731,3240018,3304548,3375272,3489679,3602457,3693173
48,03358,14420,15034,14996,15392,15496,15746,16118,16297,16769,16952,17401,18115,18639,18991,19425,19586,20113,20793,21370,1994822,2092576,2100451,2165426,2182152,2214796,2260497,2275776,2327744,2337296,2387271,2472605,2533387,2582951,2646247,2707472,2814907,2897951,2979541
49,03359,15824,16573,16454,16852,16993,17440,17890,18160,18571,18674,19140,19770,20136,20529,20972,21274,21871,22505,23076,3010843,3170159,3164258,3256884,3297556,3394701,3493385,3550214,3627157,3644495,3736091,3863720,3940473,4026772,4131146,4228221,4392612,4540608,4672849
50,03360,14140,14748,14623,15012,15169,15369,15661,15882,16587,16759,17281,18152,18676,19282,19451,19492,19934,20707,21172,1373577,1435325,1424330,1459631,1473212,1489508,1511310,1524938,1579793,1583022,1624186,1697808,1737669,1785115,1798183,1809492,1854790,1922720,1961778
