,kreis_key,kreis_name,east
0,09361,Amberg,False
1,09561,Ansbach,False
2,09661,Aschaffenburg,False
3,09761,Augsburg,False
4,08211,Baden-Baden,False
5,09461,Bamberg,False
6,09462,Bayreuth,False
7,11000,Berlin,False
8,05711,Bielefeld,False
9,05911,Bochum,False
11,05314,Bonn,False
12,05512,Bottrop,False
13,12051,Brandenburg an der Havel,True
14,03101,Braunschweig,False
15,04011,Bremen,False
16,04012,Bremerhaven,False
17,14511,Chemnitz,True
18,09463,Coburg,False
20,12052,Cottbus,True
21,06411,Darmstadt,False
22,03401,Delmenhorst,False
23,15001,Dessau-Roßlau,True
25,05913,Dortmund,False
26,14612,Dresden,True
27,05112,Duisburg,False
28,05111,Düsseldorf,False
29,03402,Emden,False
30,16051,Erfurt,True
31,09562,Erlangen,False
32,05113,Essen,False
33,01001,Flensburg,False
34,07311,Frankenthal,False
35,12053,Frankfurt,True
36,06412,Frankfurt am Main,False
37,08311,Freiburg im Breisgau,False
38,09563,Fürth,False
39,05513,Gelsenkirchen,False
40,16052,Gera,True
41,05914,Hagen,False
42,15002,Halle,True
43,02000,Hamburg,False
44,05915,Hamm,False
45,08221,Heidelberg,False
46,08121,Heilbronn,False
47,05916,Herne,False
49,09464,Hof,False
50,09161,Ingolstadt,False
51,16053,Jena,True
52,07312,Kaiserslautern,False
53,08212,Karlsruhe,False
54,06611,Kassel,False
55,09762,Kaufbeuren,False
56,09763,Kempten,False
57,01002,Kiel,False
58,07111,Koblenz,False
59,05315,Köln,False
60,05114,Krefeld,False
61,07313,Landau in der Pfalz,False
62,09261,Landshut,False
63,14713,Leipzig,True
64,05316,Leverkusen,False
66,01003,Lübeck,False
67,07314,Ludwigshafen am Rhein,False
68,15003,Magdeburg,True
69,07315,Mainz,False
70,08222,Mannheim,False
71,09764,Memmingen,False
72,05116,Mönchengladbach,False
73,05117,Mülheim an der Ruhr,False
74,09162,München,False
75,05515,Münster,False
76,01004,Neumünster,False
77,07316,Neustadt an der Weinstraße,False
78,09564,Nürnberg,False
79,05119,Oberhausen,False
80,06413,Offenbach am Main,False
81,03403,Oldenburg,False
82,03404,Osnabrück,False
83,09262,Passau,False
84,08231,Pforzheim,False
85,07317,Pirmasens,False
86,12054,Potsdam,True
87,09362,Regensburg,False
88,05120,Remscheid,False
89,09163,Rosenheim,False
90,13003,Rostock,True
91,03102,Salzgitter,False
92,09565,Schwabach,False
93,09662,Schweinfurt,False
94,13004,Schwerin,True
95,05122,Solingen,False
96,07318,Speyer,False
97,09263,Straubing,False
98,08111,Stuttgart,False
99,16054,Suhl,True
100,07211,Trier,False
101,08421,Ulm,False
102,09363,Weiden in der Oberpfalz,False
103,16055,Weimar,True
104,06414,Wiesbaden,False
105,03405,Wilhelmshaven,False
106,03103,Wolfsburg,False
107,07319,Worms,False
108,05124,Wuppertal,False
109,09663,Würzburg,False
110,07320,Zweibrücken,False
111,05334,Aachen,False
113,07131,Ahrweiler,False
114,09771,Aichach-Friedberg,False
116,08425,Alb-Donau-Kreis,False
117,16077,Altenburger Land,True
119,07132,Altenkirchen (Westerwald),False
120,15081,Altmarkkreis Salzwedel,True
123,09171,Altötting,False
125,07331,Alzey-Worms,False
126,09371,Amberg-Sulzbach,False
131,03451,Ammerland,False
132,15082,Anhalt-Bitterfeld,True
137,09571,Ansbach,False
141,09671,Aschaffenburg,False
143,09772,Augsburg,False
146,03452,Aurich,False
148,07332,Bad Dürkheim,False
149,09672,Bad Kissingen,False
152,07133,Bad Kreuznach,False
153,09173,Bad Tölz-Wolfratshausen,False
155,09471,Bamberg,False
156,12060,Barnim,True
159,14625,Bautzen,True
163,09472,Bayreuth,False
169,09172,Berchtesgadener Land,False
173,06431,Bergstraße,False
174,07231,Bernkastel-Wittlich,False
176,08426,Biberach,False
177,07134,Birkenfeld,False
178,08115,Böblingen,False
180,08435,Bodenseekreis,False
183,15083,Börde,True
190,05554,Borken,False
193,08315,Breisgau-Hochschwarzwald,False
194,15084,Burgenlandkreis,True
200,08235,Calw,False
201,03351,Celle,False
202,09372,Cham,False
206,03453,Cloppenburg,False
207,09473,Coburg,False
209,07135,Cochem-Zell,False
211,05558,Coesfeld,False
213,03352,Cuxhaven,False
214,09174,Dachau,False
215,12061,Dahme-Spreewald,True
219,06432,Darmstadt-Dieburg,False
221,09271,Deggendorf,False
222,03251,Diepholz,False
224,09773,Dillingen an der Donau,False
226,09279,Dingolfing-Landau,False
228,01051,Dithmarschen,False
230,09779,Donau-Ries,False
232,07333,Donnersbergkreis,False
234,05358,Düren,False
238,09175,Ebersberg,False
239,16061,Eichsfeld,True
242,09176,Eichstätt,False
243,07232,Eifelkreis Bitburg-Prüm,False
245,12062,Elbe-Elster,True
248,08316,Emmendingen,False
249,03454,Emsland,False
250,05954,Ennepe-Ruhr-Kreis,False
252,08236,Enzkreis,False
253,09177,Erding,False
254,09572,Erlangen-Höchstadt,False
256,14521,Erzgebirgskreis,True
265,08116,Esslingen,False
267,05366,Euskirchen,False
269,09474,Forchheim,False
272,09178,Freising,False
273,08237,Freudenstadt,False
277,09272,Freyung-Grafenau,False
280,03455,Friesland,False
281,06631,Fulda,False
