,kreis_key,prop_abitur_2006,prop_abitur_2007,prop_abitur_2008,prop_abitur_2009,prop_abitur_2010,prop_abitur_2011,prop_abitur_2012,prop_abitur_2013,prop_abitur_2014,prop_abitur_2015,prop_abitur_2016,prop_abitur_2017,prop_abitur_2018,prop_abitur_2019,prop_no_haupt_2006,prop_no_haupt_2007,prop_no_haupt_2008,prop_no_haupt_2009,prop_no_haupt_2010,prop_no_haupt_2011,prop_no_haupt_2012,prop_no_haupt_2013,prop_no_haupt_2014,prop_no_haupt_2015,prop_no_haupt_2016,prop_no_haupt_2017,prop_no_haupt_2018,prop_no_haupt_2019
0,01001,33.8,36.1,38.5,41.8,42.8,45.1,42.3,42.5,41.0,44.2,59.3,47.4,43.0,45.5,8.9,9.0,7.2,7.2,6.7,6.8,6.1,7.6,6.1,8.5,5.2,8.5,7.0,8.6
1,01002,30.0,31.4,36.7,36.1,38.9,39.2,38.6,41.4,41.7,44.9,54.3,46.5,45.6,43.1,11.7,10.8,8.9,7.1,7.3,6.9,7.0,7.7,7.8,6.5,6.4,7.3,8.6,9.0
2,01003,23.6,24.5,27.0,27.7,29.7,28.9,31.2,30.7,33.4,34.0,48.3,36.8,39.7,38.2,12.2,10.7,9.8,7.7,8.7,9.7,9.6,8.6,11.5,9.6,7.5,11.1,10.0,11.8
3,01004,27.7,31.2,31.2,35.8,35.1,36.7,37.0,36.7,44.0,43.7,52.6,44.5,44.6,46.0,8.9,8.4,9.8,5.8,5.8,7.8,5.2,8.8,6.1,6.9,6.1,7.2,9.4,10.4
4,01051,16.2,19.6,20.4,20.9,24.4,21.5,23.7,22.9,24.8,25.8,43.6,30.0,26.1,27.3,10.0,9.9,8.8,7.2,7.4,9.3,10.0,8.6,11.3,9.8,8.3,8.6,8.7,10.1
5,01053,18.6,18.5,20.7,20.0,26.8,23.2,24.8,28.0,23.9,31.0,42.6,33.6,33.3,34.3,10.5,8.3,10.0,7.6,8.0,7.2,7.3,8.6,7.8,8.5,7.0,9.6,11.8,10.2
6,01054,16.3,15.0,18.6,18.2,22.6,20.6,21.6,22.3,22.4,22.2,36.7,26.2,21.0,26.5,7.9,8.9,7.9,6.4,7.3,7.7,6.7,7.2,7.6,7.1,6.7,7.3,9.5,9.4
7,01055,17.6,19.4,22.9,20.3,28.2,26.2,23.1,26.8,26.5,27.9,38.9,30.7,24.6,29.4,11.5,9.3,9.2,7.2,6.6,8.1,8.9,8.7,8.3,10.3,9.0,8.4,10.9,11.2
8,01056,25.9,26.2,28.9,33.3,36.4,34.0,36.3,35.0,37.8,39.1,48.1,39.8,39.5,38.2,7.9,7.9,7.0,5.8,5.2,6.4,5.7,6.5,5.8,6.0,6.0,6.9,6.3,7.6
9,01057,16.0,17.4,22.0,20.0,24.9,21.7,22.3,23.1,23.5,24.9,38.6,26.7,21.8,27.8,11.9,9.8,8.2,7.3,6.6,8.3,7.2,8.1,8.4,9.1,7.7,8.1,9.1,9.1
