,0
0,Straftaten insgesamt
1,"Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB darunter:"
2,"Körperverletzung §§ 223-227, 229, 231 StGB davon:"
3,"Gefährliche und schwere Körperverletzung §§ 224, 226, 231 StGB darunter:"
4,(Vorsätzliche leichte) Körperverletzung § 223 StGB
5,Wohnungseinbruchdiebstahl § 244 Abs. 1 Nr. 3 StGB darunter:
6,Tageswohnungseinbruch
7,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme
8,Diebstahl insgesamt an/aus Kraftfahrzeugen
9,"Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB davon:"
10,Beförderungserschleichung
11,Widerstand gegen Polizeivollzugsbeamte
12,Sachbeschädigung §§ 303-305a StGB darunter:
13,Rauschgiftdelikte (soweit nicht bereits mit anderer Schlüsselzahl erfasst) davon:
14,Gewaltkriminalität
15,Mord und Totschlag
16,Straßenkriminalität
17,Sachbeschädigung durch Graffiti insgesamt
18,"Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB"
19,"Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB"
20,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen"
21,"Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte"
22,Handtaschenraub
23,"Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen"
24,Raubüberfälle in Wohnungen
25,"Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB"
26,Vorsätzliche einfache Körperverletzung § 223 StGB
27,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:"
28,Einfacher Ladendiebstahl
29,Diebstahl unter erschwerenden Umständen §§ 243-244a StGB und zwar:
30,Diebstahl insgesamt und zwar:
31,Diebstahl insgesamt von Mopeds und Krafträdern einschl. unbefugte Ingebrauchnahme
32,Diebstahl insgesamt von Fahrrädern einschl. unbefugte Ingebrauchnahme
33,Taschendiebstahl insgesamt
34,"Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB"
35,Erschleichen von Leistungen § 265a StGB
36,"Unterschlagung §§ 246, 247, 248a StGB"
37,"Urkundenfälschung §§ 267-271, 273-279, 281 StGB"
38,Widerstand gegen Vollstreckungsbeamte
39,"Begünstigung, Strafvereitelung (ohne Strafvereitelung im Amt), Hehlerei und Geldwäsche §§ 257, 258, 259-261 StGB"
40,"Brandstiftung und Herbeiführen einer Brandgefahr §§ 306-306d, 306f StGB"
41,Sachbeschädigung §§ 303-305a StGB
42,"Straftaten gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU"
43,Rauschgiftdelikte (soweit nicht bereits mit anderer Schlüsselzahl erfasst)
44,Computerkriminalität
45,"Unerlaubt eingereiste/aufhältige Personen (SZ: 725100, 725700)"
46,"IuK-Kriminalität im engeren Sinne (SZ: 517500, 517900, 543000, 674200, 678000)"
47,2
48,"Straftaten insgesamt, jedoch ohne Verstöße gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU (Schlüssel 725000)"
49,"Wohnungseinbruchdiebstahl § 244 Abs. 1 Nr. 3, § 244a StGB"
50,"Tageswohnungseinbruchdiebstahl § 244 Abs. 1 Nr. 3, § 244a StGB"
51,"Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU"
52,"Straftaten insgesamt, jedoch ohne Verstöße gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU (Schlüssel 725000)"
53,"Mord, Totschlag und Tötung auf Verlangen"
54,IuK-Kriminalität im engeren Sinne
55,"Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB"
56,"Wohnungseinbruchdiebstahl §§ 244 Abs. 1 Nr. 3, 244a StGB"
57,"Tageswohnungseinbruchdiebstahl §§ 244 Abs. 1 Nr. 3, 244a StGB"
58,Cybercrime im engeren Sinne
59,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB"
60,"Wohnungseinbruchdiebstahl §§ 244 Abs. 1 Nr. 3 und Abs. 4, 244a StGB"
61,"Tageswohnungseinbruchdiebstahl §§ 244 Abs. 1 Nr. 3 und Abs. 4, 244a StGB"
62,"Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB"
63,Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB
64,"Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113, 115 StGB"
65,"Tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 114, 115 StGB"
66,"Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte"
